Incident energy;
Incident energy;
Incident energy;?(E)
1.0E-5;9829.302
1.0625E-5;9535.832
1.125E-5;9267.171
1.1875E-5;9020.009
1.25E-5;8791.625
1.375E-5;8382.499
1.5E-5;8025.646
1.625E-5;7710.804
1.75E-5;7430.33
1.875E-5;7178.392
2.0E-5;6950.46
2.1875E-5;6645.928
2.375E-5;6378.212
2.5625E-5;6140.446
2.75E-5;5927.432
2.9375E-5;5735.155
3.125E-5;5560.453
3.3125E-5;5400.803
3.5E-5;5254.161
3.875E-5;4993.485
4.25E-5;4768.122
4.625E-5;4570.757
5.0E-5;4396.035
5.3125E-5;4264.799
5.625E-5;4144.657
5.9375E-5;4034.13
6.25E-5;3932.0
6.875E-5;3749.046
7.5E-5;3589.469
8.125E-5;3448.679
8.75E-5;3323.259
9.375E-5;3210.6
1.0E-4;3108.676
1.0625E-4;3015.884
1.125E-4;2930.937
1.1875E-4;2852.789
1.25E-4;2780.578
1.375E-4;2651.222
1.5E-4;2538.394
1.625E-4;2438.851
1.75E-4;2350.175
1.875E-4;2270.523
2.0E-4;2198.461
2.1875E-4;2102.184
2.375E-4;2017.548
2.5625E-4;1942.382
2.75E-4;1875.043
2.9375E-4;1814.26
3.125E-4;1759.035
3.3125E-4;1708.569
3.5E-4;1662.215
3.875E-4;1579.819
4.25E-4;1508.588
4.625E-4;1446.209
5.0E-4;1390.989
5.3125E-4;1349.515
5.625E-4;1311.548
5.9375E-4;1276.621
6.25E-4;1244.349
6.875E-4;1186.54
7.5E-4;1136.122
8.125E-4;1091.643
8.75E-4;1052.023
9.375E-4;1016.437
0.001;984.2444
0.0010625;954.9385
0.001125;928.1123
0.0011875;903.4351
0.00125;880.6345
0.001375;839.795
0.0015;804.1794
0.001625;772.7621
0.00175;744.7791
0.001875;719.6476
0.002;696.9146
0.0021875;666.5485
0.002375;639.8605
0.0025625;616.1644
0.00275;594.9408
0.0029375;575.788
0.003125;558.3902
0.0033125;542.4953
0.0035;527.899
0.003875;501.9611
0.00425;479.5476
0.004625;459.9284
0.005;442.5691
0.0053125;429.5367
0.005625;417.6115
0.0059375;406.6456
0.00625;396.5172
0.006875;378.3842
0.0075;362.5804
0.008125;348.6481
0.00875;336.2473
0.009375;325.1192
0.01;315.0624
0.010625;305.9172
0.01125;297.5548
0.011875;289.87
0.0125;282.776
0.01375;270.0832
0.015;259.0275
0.01625;249.287
0.0175;240.6237
0.01875;232.8566
0.02;225.8442
0.021325;219.1104
0.02265;212.9921
0.023975;207.4037
0.0253;202.275
0.02684375;196.8019
0.0283875;191.7959
0.03108907;183.9725
0.03379063;177.127
0.03649219;171.0778
0.03919375;165.6896
0.04189532;160.8559
0.04459688;156.4916
0.04729844;152.5293
0.05;148.9155
0.053125;145.1129
0.05625;141.6589
0.0625;135.5957
0.06875;130.4314
0.075;125.9875
0.08125;122.1265
0.0875;118.7421
0.09375;115.7532
0.1;113.0979
0.10625;110.731
0.1125;108.6156
0.125;104.9749
0.1375;101.965
0.15;99.47188
0.1625;97.39797
0.175;95.66981
0.1875;94.23318
0.2;93.05117
0.21875;91.6649
0.2375;90.66529
0.25625;90.00085
0.275;89.6261
0.29375;89.50693
0.321875;89.75353
0.35;90.47917
0.3875;92.08847
0.425;94.3814
0.5;101.1197
0.5625;109.0831
0.625;119.5452
0.6875;133.19
0.75;150.8439
0.78125;161.6123
0.8125;174.1656
0.84375;188.7339
0.875;205.738
0.90625;225.7296
0.9375;249.4317
0.96875;277.7941
1.0;312.043
1.022942;341.9765
1.045883;377.0172
1.068825;418.2455
1.091766;467.2802
1.114708;526.5308
1.126179;560.8922
1.137649;599.0003
1.14912;641.4199
1.160591;688.8234
1.172062;742.0289
1.183532;802.0263
1.1991;896.5594
1.214667;1009.828
1.230235;1147.184
1.238019;1227.084
1.245802;1315.945
1.253586;1415.178
1.26137;1526.445
1.269154;1651.787
1.276937;1793.7
1.284721;1955.347
1.292504;2140.588
1.300288;2354.372
1.308071;2602.829
1.317084;2944.376
1.326097;3359.161
1.33511;3868.834
1.339616;4167.996
1.344122;4502.552
1.348629;4877.808
1.353135;5299.56
1.357642;5774.744
1.362148;6310.666
1.366655;6915.767
1.371161;7598.488
1.375667;8367.858
1.380173;9232.498
1.384389;10134.59
1.388605;11131.72
1.397036;13418.96
1.405468;16076.36
1.413899;19011.34
1.430762;24898.26
1.439194;27261.26
1.447625;28822.06
1.452313;29255.53
1.457;29349.56
1.463663;28894.59
1.470325;27792.75
1.476987;26145.27
1.483649;24093.03
1.510297;14832.77
1.518196;12469.67
1.526094;10437.96
1.533993;8738.458
1.541891;7343.156
1.54979;6209.127
1.557688;5291.087
1.565587;4546.657
1.573485;3940.135
1.579409;3557.909
1.585333;3226.776
1.591257;2938.507
1.597181;2686.321
1.603105;2464.638
1.609029;2268.86
1.620876;1940.505
1.632724;1677.905
1.644571;1464.8
1.656419;1289.5
