Incident energy;
Incident energy;
Incident energy;?(E)
339151.4;0.0
344178.0;2.420335E-4
349204.5;4.805529E-4
359257.5;9.474612E-4
379363.6;0.001843314
399469.7;0.002692892
419575.7;0.003500738
459787.9;0.005006359
500000.0;0.00638566
551120.5;0.008503425
602241.0;0.0104332
610883.4;0.01213762
619525.8;0.01381809
636810.5;0.01710982
671380.0;0.02343339
700000.0;0.028427
750000.0;0.03568438
800000.0;0.0424732
835672.0;0.0473134
844650.0;0.04955196
853628.0;0.05176686
871584.0;0.05612761
885792.0;0.05961074
900000.0;0.06303843
920897.5;0.06781338
941795.0;0.07248119
949462.0;0.08697128
962096.5;0.1048033
974731.0;0.1224026
1000000.0;0.1569271
1043730.0;0.1988506
1087460.0;0.2390531
1087464.0;0.2390552
1101208.0;0.2503624
1114952.0;0.2615294
1142440.0;0.2834561
1142442.0;0.2834571
1155887.0;0.3059018
1169331.0;0.3280853
1196220.0;0.3716989
1250000.0;0.4560625
1301830.0;0.5077669
1317908.0;0.5286614
1333985.0;0.5493013
1366140.0;0.5898465
1398295.0;0.6294484
1430450.0;0.6681498
1445935.0;0.6899684
1461420.0;0.7115544
1475340.0;0.7367421
1498840.0;0.7757073
1498844.0;0.7757094
1500000.0;0.7794429
1513170.0;0.8040692
1542774.0;0.8459446
1572378.0;0.8870242
1601982.0;0.9273377
1631585.0;0.9669113
1661189.0;1.005775
1690793.0;1.043952
1720397.0;1.081466
1750000.0;1.118339
1781250.0;1.148471
1812500.0;1.178078
1843750.0;1.20718
1875000.0;1.235792
1906250.0;1.263932
1937500.0;1.291613
1968750.0;1.318852
2000000.0;1.345662
2014047.0;1.353859
2028094.0;1.361998
2042141.0;1.370082
2056187.0;1.378109
2070234.0;1.386083
2084280.0;1.394001
2098327.0;1.401867
2112373.0;1.409681
2126420.0;1.417443
2140466.0;1.425153
2154513.0;1.432814
2168559.0;1.440424
2182606.0;1.447985
2196652.0;1.455498
2210699.0;1.462963
2224745.0;1.47038
2238792.0;1.477751
2252839.0;1.485076
2266886.0;1.492356
2280932.0;1.49959
2294979.0;1.50678
2309025.0;1.513926
2323072.0;1.521029
2337118.0;1.528088
2351165.0;1.535106
2365211.0;1.542081
2379258.0;1.549016
2393304.0;1.55591
2407351.0;1.562763
2421397.0;1.569576
2435444.0;1.576351
2449490.0;1.583085
2466694.0;1.591282
2483897.0;1.599421
2501101.0;1.607504
2518304.0;1.615532
2535508.0;1.623505
2552711.0;1.631425
2569915.0;1.63929
2587118.0;1.647104
2604322.0;1.654866
2621525.0;1.662577
2638729.0;1.670237
2655932.0;1.677847
2673136.0;1.685409
2690339.0;1.692921
2707542.0;1.700386
2724745.0;1.707804
2741949.0;1.715174
2759152.0;1.722499
2776356.0;1.729778
2793559.0;1.737012
2810763.0;1.744203
2827966.0;1.751349
2845170.0;1.758452
2862373.0;1.765511
2879577.0;1.772529
2896780.0;1.779504
2913984.0;1.786439
2931187.0;1.793332
2948391.0;1.800186
2965594.0;1.806999
2982797.0;1.813773
3000000.0;1.820508
3012027.0;1.823299
3024054.0;1.826079
3036081.0;1.828848
3048107.0;1.831606
3060134.0;1.834354
3072160.0;1.83709
3084187.0;1.839816
3096213.0;1.84253
3108240.0;1.845235
3120266.0;1.847929
3132293.0;1.850613
3144319.0;1.853286
3156346.0;1.85595
3168372.0;1.858603
3180399.0;1.861245
3192425.0;1.863878
3204452.0;1.866502
3216479.0;1.869115
3228506.0;1.871719
3240532.0;1.874312
3252559.0;1.876897
3264585.0;1.879472
3276612.0;1.882036
3288638.0;1.884592
3300665.0;1.887139
3312691.0;1.889676
3324718.0;1.892205
3336744.0;1.894724
3348771.0;1.897233
3360797.0;1.899734
3372824.0;1.902226
3384850.0;1.904709
3396877.0;1.907184
3408904.0;1.909649
3420931.0;1.912106
3432957.0;1.914554
3444984.0;1.916993
3457010.0;1.919425
3469037.0;1.921848
3481063.0;1.924262
3493090.0;1.926668
3505116.0;1.929066
3517143.0;1.931455
3529169.0;1.933836
3541196.0;1.93621
3553222.0;1.938576
3565249.0;1.940932
3577275.0;1.943282
3589302.0;1.945623
3601329.0;1.947957
3613356.0;1.950282
3625382.0;1.952601
3637409.0;1.954911
3649435.0;1.957214
3661462.0;1.959509
3673488.0;1.961796
3685515.0;1.964077
3697541.0;1.966349
3709568.0;1.968615
3721594.0;1.970873
3733621.0;1.973124
3745647.0;1.975368
3757674.0;1.977604
3769700.0;1.979833
3784094.0;1.982491
3798488.0;1.98514
3812882.0;1.987778
3827275.0;1.990407
3841669.0;1.993025
3856063.0;1.995634
3870457.0;1.998234
3884850.0;2.000823
3899244.0;2.003403
3913638.0;2.005974
3928032.0;2.008535
3942425.0;2.011087
3956819.0;2.013629
3971213.0;2.016162
3985607.0;2.018687
4000000.0;2.021201
4017015.0;2.021553
4034030.0;2.021904
4051045.0;2.022253
4068060.0;2.0226
4085075.0;2.022947
