Incident energy;
Incident energy;
Incident energy;?(E)
1.0E-5;9.293169E-4
1.0625E-5;9.0157E-4
1.125E-5;8.761687E-4
1.1875E-5;8.528001E-4
1.25E-5;8.312068E-4
1.375E-5;7.925247E-4
1.5E-5;7.587848E-4
1.625E-5;7.29017E-4
1.75E-5;7.024986E-4
1.875E-5;6.786782E-4
2.0E-5;6.571275E-4
2.1875E-5;6.283343E-4
2.375E-5;6.03022E-4
2.5625E-5;5.805413E-4
2.75E-5;5.60401E-4
2.9375E-5;5.422211E-4
3.125E-5;5.257031E-4
3.3125E-5;5.106081E-4
3.5E-5;4.96743E-4
3.875E-5;4.720959E-4
4.25E-5;4.507875E-4
4.625E-5;4.321263E-4
5.0E-5;4.156061E-4
5.3125E-5;4.031973E-4
5.625E-5;3.918376E-4
5.9375E-5;3.813869E-4
6.25E-5;3.717301E-4
6.875E-5;3.544311E-4
7.5E-5;3.393423E-4
8.125E-5;3.260298E-4
8.75E-5;3.141705E-4
9.375E-5;3.035178E-4
1.0E-4;2.938801E-4
1.0625E-4;2.851058E-4
1.125E-4;2.770732E-4
1.1875E-4;2.696835E-4
1.25E-4;2.628552E-4
1.375E-4;2.50623E-4
1.5E-4;2.399536E-4
1.625E-4;2.305403E-4
1.75E-4;2.221545E-4
1.875E-4;2.146219E-4
2.0E-4;2.07807E-4
2.1875E-4;1.987018E-4
2.375E-4;1.906974E-4
2.5625E-4;1.835884E-4
2.75E-4;1.772195E-4
2.9375E-4;1.714705E-4
3.125E-4;1.662471E-4
3.3125E-4;1.614736E-4
3.5E-4;1.570891E-4
3.875E-4;1.492949E-4
4.25E-4;1.425566E-4
4.625E-4;1.366553E-4
5.0E-4;1.314311E-4
5.3125E-4;1.275071E-4
5.625E-4;1.239148E-4
5.9375E-4;1.2061E-4
6.25E-4;1.175563E-4
6.875E-4;1.120859E-4
7.5E-4;1.073146E-4
8.125E-4;1.03105E-4
8.75E-4;9.935496E-5
9.375E-4;9.598656E-5
0.001;9.293916E-5
0.0010625;9.016482E-5
0.001125;8.762504E-5
0.0011875;8.528854E-5
0.00125;8.312956E-5
0.001375;7.9262E-5
0.0015;7.588856E-5
0.001625;7.291223E-5
0.00175;7.026073E-5
0.001875;6.787897E-5
0.002;6.572413E-5
0.0021875;6.284513E-5
0.002375;6.031428E-5
0.0025625;5.806673E-5
0.00275;5.605334E-5
0.0029375;5.423611E-5
0.003125;5.258512E-5
0.0033125;5.107641E-5
0.0035;4.96906E-5
0.003875;4.72268E-5
0.00425;4.509624E-5
0.004625;4.323005E-5
0.005;4.157801E-5
0.0053125;4.033739E-5
0.005625;3.920194E-5
0.0059375;3.815762E-5
0.00625;3.719277E-5
0.006875;3.546431E-5
0.0075;3.395615E-5
0.008125;3.262497E-5
0.00875;3.143886E-5
0.009375;3.037353E-5
0.01;2.941006E-5
0.010625;2.853342E-5
0.01125;2.773145E-5
0.011875;2.69941E-5
0.0125;2.631297E-5
0.01375;2.50924E-5
0.015;2.40266E-5
0.01625;2.308555E-5
0.0175;2.224716E-5
0.01875;2.149428E-5
0.02;2.081337E-5
0.021325;2.01582E-5
0.02265;1.956159E-5
0.023975;1.901549E-5
0.0253;1.851342E-5
0.02684375;1.797688E-5
0.0283875;1.748535E-5
0.031475;1.661194E-5
0.0345625;1.5856E-5
0.03765;1.519479E-5
0.0407375;1.461056E-5
0.043825;1.40895E-5
0.0469125;1.362101E-5
0.05;1.319681E-5
0.053125;1.280587E-5
0.05625;1.244825E-5
0.059375;1.211998E-5
0.0625;1.181764E-5
0.06875;1.127512E-5
0.075;1.080016E-5
0.08125;1.038132E-5
0.0875;1.000851E-5
0.09375;9.673905E-6
0.1;9.371405E-6
0.10625;9.096203E-6
0.1125;8.844455E-6
0.11875;8.613285E-6
0.125;8.400986E-6
0.1375;8.019745E-6
0.15;7.685975E-6
0.1625;7.391927E-6
0.175;7.130357E-6
0.1875;6.895756E-6
0.2;6.684582E-6
0.21875;6.402497E-6
0.2375;6.154186E-6
0.25625;5.934121E-6
0.275;5.73738E-6
0.29375;5.560161E-6
0.3125;5.399477E-6
0.33125;5.252956E-6
0.35;5.119496E-6
0.3875;4.882167E-6
0.425;4.677E-6
0.5;4.34108E-6
0.625;3.926858E-6
0.75;3.625783E-6
0.875;3.396564E-6
1.0;3.21555E-6
1.25;2.947239E-6
1.5;2.760147E-6
1.75;2.625164E-6
2.0;2.526368E-6
2.299529;2.44277E-6
2.599058;2.389116E-6
2.898587;2.360747E-6
3.198115;2.355722E-6
3.483604;2.373042E-6
3.769092;2.414334E-6
3.911837;2.444507E-6
4.054581;2.483464E-6
4.197325;2.531687E-6
4.268697;2.558749E-6
4.28654;2.566111E-6
4.304383;2.573704E-6
4.313305;2.577579E-6
4.322226;2.581505E-6
4.331148;2.585481E-6
4.340069;2.589508E-6
4.34709;2.592714E-6
4.35411;2.595951E-6
