Incident energy;
Incident energy;
Incident energy;?(E)
4931130.0;0.0
4957300.0;7.979817E-6
5000000.0;2.1E-5
5021660.0;2.38158E-5
5090220.0;3.27286E-5
5096570.0;3.35541E-5
5165020.0;4.24526E-5
5167510.0;4.27763E-5
5195880.0;4.64644E-5
5200000.0;4.7E-5
5214540.0;5.292505E-5
5224260.0;5.688595E-5
5266820.0;7.422915E-5
5295200.0;8.5794E-5
5323570.0;9.735478E-5
5380320.0;1.204804E-4
5408700.0;1.320453E-4
5423300.0;1.379948E-4
5437070.0;1.43606E-4
5451260.0;1.493885E-4
5456300.0;1.514423E-4
5493830.0;1.667357E-4
5496400.0;1.67783E-4
5500000.0;1.6925E-4
5550580.0;1.898614E-4
5578950.0;2.014221E-4
5600000.0;2.1E-4
5626930.0;4.375585E-4
5649890.0;6.315705E-4
5686500.0;9.40925E-4
5686510.0;9.410095E-4
5720830.0;0.001231014
5777580.0;0.001710551
5800000.0;0.0019
5805960.0;0.00194768
5834330.0;0.00217464
5891080.0;0.00262864
5910890.0;0.00278712
5933640.0;0.00296912
5947830.0;0.00308264
5990400.0;0.0034232
6000000.0;0.0035
6061330.0;0.00399064
6100000.0;0.0043
6103900.0;0.0043858
6153550.0;0.0054781
6203210.0;0.00657062
6263060.0;0.00788732
6274150.0;0.0081313
6300000.0;0.0087
6359280.0;0.01705848
6430220.0;0.02706102
6472780.0;0.03306198
6500000.0;0.0369
6557900.0;0.03883965
6600470.0;0.04026575
6628840.0;0.04121614
6644000.0;0.041724
6699780.0;0.04359263
6700000.0;0.0436
6702700.0;0.04349335
6742350.0;0.04192718
6756000.0;0.041388
6784910.0;0.04024606
6799100.0;0.03968555
6808000.0;0.039334
6845000.0;0.0378725
6855850.0;0.03744393
6900000.0;0.0357
6912000.0;0.03669
6940970.0;0.03908003
7000000.0;0.04395
7038000.0;0.047085
7099530.0;0.05216123
7100000.0;0.0522
7186010.0;0.04986544
7216000.0;0.04905143
7272490.0;0.04751813
7310000.0;0.0465
7315730.0;0.04746264
7350000.0;0.05322
7373000.0;0.057084
7418000.0;0.064644
7448000.0;0.069684
7500000.0;0.07842
7510000.0;0.0801
7510300.0;0.08012084
7553540.0;0.08312488
7575160.0;0.08462691
7618400.0;0.08763095
7627870.0;0.08828886
7656910.0;0.09030638
7683260.0;0.09213701
7700000.0;0.0933
7704880.0;0.0936172
7775000.0;0.098175
7870630.0;0.104391
7871000.0;0.104415
7900000.0;0.1063
7936490.0;0.1086458
7942690.0;0.1090444
8000000.0;0.1127286
8042000.0;0.1154286
8073000.0;0.1174214
8094030.0;0.1187734
8110000.0;0.1198
8140530.0;0.119753
8158880.0;0.1197248
8223740.0;0.119625
8228430.0;0.1196178
8266980.0;0.1195585
8310220.0;0.119492
8310570.0;0.1194914
8322960.0;0.1194724
8375080.0;0.1193922
8418320.0;0.1193257
8500000.0;0.1192
8504790.0;0.1192201
8634510.0;0.1197649
8720990.0;0.1201282
8829090.0;0.1205822
8937180.0;0.1210362
9000000.0;0.1213
9045280.0;0.1214902
9175000.0;0.122035
9283090.0;0.122489
9391190.0;0.122943
9477670.0;0.1233062
9500000.0;0.1234
9510000.0;0.1238942
9542530.0;0.1255017
9573000.0;0.1270074
9650620.0;0.130843
9706250.0;0.1335921
9753000.0;0.1359022
1.0E7;0.148108
1.024E7;0.1528082
1.02843E7;0.1536757
1.035E7;0.1549624
1.04205E7;0.1563431
1.042055E7;0.1563441
1.05E7;0.1579
1.054E7;0.15886
1.067E7;0.16198
1.075E7;0.1639
1.089E7;0.16726
1.1E7;0.1699
1.10252E7;0.1705048
1.11E7;0.1723
1.127E7;0.17638
1.14088E7;0.1797112
1.148E7;0.18142
1.15E7;0.1819
1.15243E7;0.1822749
1.156E7;0.1828257
1.17E7;0.1849857
1.181E7;0.1866829
1.194E7;0.1886886
1.2E7;0.1896143
1.205E7;0.1903857
1.21E7;0.1911571
1.21832E7;0.1924408
1.22E7;0.1927
1.224E7;0.19608
1.237E7;0.207065
1.24E7;0.2096
1.246E7;0.20678
1.2551E7;0.202503
1.259E7;0.20067
1.26E7;0.2002
1.26415E7;0.2003245
1.267E7;0.20041
1.28E7;0.2008
1.281E7;0.200645
1.294E7;0.19863
1.3E7;0.1977
1.306E7;0.20277
1.32E7;0.2146
1.327E7;0.215685
1.34E7;0.2177
1.355E7;0.205475
1.36E7;0.2014
1.377E7;0.190945
1.38E7;0.1891
1.396E7;0.19502
1.4E7;0.1965
1.416E7;0.19666
1.42E7;0.1967
1.44E7;0.1907
1.45E7;0.18645
1.46E7;0.1822
1.46958E7;0.1772184
1.48E7;0.1718
1.499E7;0.17788
1.5E7;0.1782
1.525E7;0.16755
1.55E7;0.1569
1.575E7;0.14835
1.6E7;0.1398
1.625E7;0.1354
1.65E7;0.131
1.675E7;0.1266
1.7E7;0.1222
1.72258E7;0.1202355
1.75E7;0.11785
1.76954E7;0.11615
1.775E7;0.115675
1.8E7;0.1135
1.85E7;0.1053
1.9E7;0.0971
1.95E7;0.089
2.0E7;0.0809
