Incident energy;
Incident energy;
Incident energy;?(E)
3247354.0;0.0
3250000.0;5.40061E-23
3260000.0;2.58111E-22
3265000.0;3.60163E-22
3270000.0;4.62215E-22
3275000.0;5.64267E-22
3280000.0;6.6632E-22
3285000.0;7.68372E-22
3290000.0;8.70424E-22
3300000.0;1.07453E-21
3305000.0;1.17658E-21
3310000.0;1.27863E-21
3320000.0;1.48274E-21
3330000.0;1.68684E-21
3350000.0;2.09505E-21
3355000.0;2.1971E-21
3360000.0;2.29916E-21
3365000.0;2.40121E-21
3370000.0;2.50326E-21
3380000.0;2.70737E-21
3385000.0;2.80942E-21
3390000.0;2.91147E-21
3395000.0;3.01352E-21
3400000.0;3.11557E-21
3410000.0;3.31968E-21
3420000.0;3.52378E-21
3425000.0;3.62584E-21
3435000.0;3.82994E-21
3450000.0;4.1361E-21
3460000.0;4.3402E-21
3465000.0;4.44225E-21
3470000.0;4.54431E-21
3485000.0;4.85046E-21
3490000.0;4.95252E-21
3495000.0;5.05457E-21
3500000.0;5.15662E-21
3510000.0;5.36072E-21
3520000.0;5.56483E-21
3525000.0;5.66688E-21
3530000.0;5.76893E-21
3535000.0;5.87099E-21
3555000.0;6.2792E-21
3560000.0;6.38125E-21
3575000.0;6.6874E-21
3580000.0;6.78946E-21
3590000.0;6.99356E-21
3600000.0;7.19767E-21
3610000.0;7.40177E-21
3620000.0;7.60587E-21
3625000.0;7.70793E-21
3630000.0;7.80998E-21
3640000.0;8.01408E-21
3645000.0;8.11614E-21
3650000.0;8.21819E-21
3658384.0;8.38931E-21
3658385.0;8.38933E-21
3660000.0;8.42229E-21
3670000.0;8.6264E-21
3675000.0;8.72845E-21
3680000.0;8.8305E-21
3685000.0;8.93255E-21
3695000.0;9.13666E-21
3700000.0;9.23871E-21
3705000.0;9.34076E-21
3710000.0;9.44282E-21
3715000.0;9.54487E-21
3720000.0;9.64692E-21
3725000.0;9.74897E-21
3735000.0;9.95308E-21
3737299.0;1.0E-20
3737300.0;1.0001E-20
3740000.0;7.85693E-15
3750000.0;3.69566E-14
3765000.0;8.06062E-14
3780000.0;1.24256E-13
3795000.0;1.67905E-13
3800000.0;1.82455E-13
3810000.0;2.11555E-13
3817675.0;2.33889E-13
3817676.0;2.33892E-13
3825000.0;2.55204E-13
3831701.0;2.74704E-13
3831702.0;2.74704E-13
3835000.0;2.76723E-13
3845000.0;2.82844E-13
3850000.0;2.85904E-13
3860000.0;2.92025E-13
3875000.0;3.01206E-13
3880000.0;3.04266E-13
3890000.0;3.10387E-13
3895000.0;3.13447E-13
3900000.0;3.16508E-13
3909431.0;3.2228E-13
3909432.0;3.22281E-13
3910000.0;3.22628E-13
3915000.0;3.25689E-13
3930000.0;3.3487E-13
3945000.0;3.44051E-13
3950000.0;3.47111E-13
3970000.0;3.59353E-13
3980000.0;3.65473E-13
3990000.0;3.71594E-13
3995000.0;3.74655E-13
4000000.0;3.77715E-13
4020000.0;3.89956E-13
4030000.0;3.96077E-13
4050000.0;4.08319E-13
4065000.0;4.175E-13
4075000.0;4.2362E-13
4090000.0;4.32801E-13
4100000.0;4.38922E-13
4104719.0;4.41811E-13
4104720.0;4.41811E-13
4110000.0;4.45043E-13
4120000.0;4.51164E-13
4125000.0;4.54224E-13
4130000.0;4.57284E-13
4140000.0;4.63405E-13
4145000.0;4.66465E-13
4150000.0;4.69526E-13
4155000.0;4.72586E-13
4170000.0;4.81767E-13
4175000.0;4.84828E-13
4185000.0;4.90948E-13
4200000.0;5.00129E-13
4205864.0;5.03719E-13
4205865.0;5.03719E-13
4215000.0;5.09311E-13
4240000.0;5.24612E-13
4245000.0;5.27673E-13
4250000.0;5.30733E-13
4260000.0;1.12051E-9
4275000.0;2.800477E-9
4290000.0;4.480446E-9
4295000.0;5.040435E-9
4300000.0;5.600425E-9
4320000.0;7.840382E-9
4330000.0;8.960361E-9
4345000.0;1.064033E-8
4350000.0;1.120032E-8
4375000.0;1.400027E-8
4380000.0;1.456025E-8
4390000.0;1.568024E-8
4400000.0;1.680021E-8
4420000.0;1.904017E-8
4430000.0;2.016015E-8
4440000.0;2.128012E-8
4450000.0;2.240011E-8
4465000.0;2.408007E-8
4470000.0;2.464006E-8
4475000.0;2.520006E-8
4495000.0;2.744001E-8
4500000.0;2.8E-8
4505000.0;7.880116E-8
4520000.0;2.312046E-7
4530000.0;3.328069E-7
4545000.0;4.852104E-7
4550000.0;5.360116E-7
4560000.0;6.376139E-7
4570000.0;7.392162E-7
4575069.0;7.907184E-7
4575070.0;7.907286E-7
4600000.0;1.044023E-6
4605000.0;1.094824E-6
4620000.0;1.247228E-6
4635000.0;1.399631E-6
4638899.0;1.439246E-6
4638900.0;1.439262E-6
4642115.0;1.491115E-6
4642116.0;1.491131E-6
4644190.0;1.525042E-6
4644191.0;1.525063E-6
4645000.0;1.541956E-6
4650000.0;1.646362E-6
4660000.0;1.855174E-6
