Incident energy;
Incident energy;
Incident energy;?(E)
1896908.0;0.0
1900000.0;2.605185E-9
1902000.0;4.290298E-9
1904000.0;5.975412E-9
1908000.0;9.345638E-9
1910000.0;1.103075E-8
1914000.0;1.440098E-8
1920000.0;1.945632E-8
1924000.0;2.282654E-8
1930000.0;2.788188E-8
1932000.0;2.9567E-8
1938000.0;3.462234E-8
1946000.0;4.136279E-8
1950000.0;4.473302E-8
1952000.0;4.641813E-8
1954000.0;4.810324E-8
1956000.0;4.978836E-8
1960000.0;5.315858E-8
1962000.0;5.48437E-8
1968000.0;5.989903E-8
1972000.0;6.326926E-8
1974000.0;6.495437E-8
1976000.0;6.663949E-8
1980000.0;7.000971E-8
1982000.0;7.169483E-8
1984000.0;7.337994E-8
1990000.0;7.843528E-8
1992000.0;8.012039E-8
1994000.0;8.180551E-8
1996000.0;8.349062E-8
1998000.0;8.517573E-8
2000000.0;8.686085E-8
2002000.0;8.854596E-8
2004000.0;9.023107E-8
2006000.0;9.191619E-8
2008000.0;9.36013E-8
2010000.0;9.528641E-8
2012000.0;9.697153E-8
2016000.0;1.003418E-7
2024000.0;1.070822E-7
2030000.0;1.121375E-7
2034000.0;1.155078E-7
2036000.0;1.171929E-7
2038000.0;1.18878E-7
2040000.0;1.205631E-7
2042000.0;1.222482E-7
2045500.0;1.251972E-7
2047500.0;1.268823E-7
2048500.0;1.277248E-7
2049500.0;1.285674E-7
2050000.0;1.289887E-7
2054500.0;1.327802E-7
2060500.0;1.378355E-7
2061500.0;1.386781E-7
2062500.0;1.395206E-7
2063500.0;1.403632E-7
2065000.0;1.41627E-7
2068500.0;1.44576E-7
2071500.0;1.471036E-7
2076000.0;1.508951E-7
2084000.0;1.576356E-7
2086000.0;1.593207E-7
2088000.0;1.610058E-7
2092000.0;1.643761E-7
2098000.0;1.694314E-7
2100000.0;1.711165E-7
2104000.0;1.744867E-7
2106000.0;1.761718E-7
2108000.0;1.77857E-7
2112000.0;1.812272E-7
2116000.0;1.845974E-7
2122000.0;1.896528E-7
2128000.0;1.947081E-7
2136000.0;2.014485E-7
2138000.0;2.031337E-7
2140000.0;2.048188E-7
2142000.0;2.065039E-7
2150000.0;2.132443E-7
2160000.0;2.216699E-7
2164000.0;2.250401E-7
2166000.0;2.267252E-7
2168000.0;2.284104E-7
2172000.0;2.317806E-7
2182000.0;2.402062E-7
2184000.0;2.418913E-7
2188000.0;2.452615E-7
2192000.0;2.486317E-7
2194000.0;2.503168E-7
2196000.0;2.520019E-7
2198000.0;2.536871E-7
2200000.0;2.553722E-7
2204000.0;2.587424E-7
2206000.0;2.604275E-7
2208000.0;2.621126E-7
2210000.0;2.637977E-7
2214000.0;2.67168E-7
2216000.0;2.688531E-7
2218000.0;2.705382E-7
2224000.0;2.755935E-7
2228000.0;2.789638E-7
2232000.0;2.82334E-7
2236000.0;2.857042E-7
2240000.0;2.890744E-7
2246000.0;2.941298E-7
2250000.0;2.975E-7
2254000.0;5.976333E-7
2258000.0;8.977666E-7
2266000.0;1.498033E-6
2276000.0;2.248366E-6
2280000.0;2.5485E-6
2288000.0;3.148766E-6
2293759.0;3.580883E-6
2293760.0;3.580958E-6
2300000.0;4.049166E-6
2310000.0;4.799499E-6
2312000.0;4.949566E-6
2316000.0;5.249699E-6
2322000.0;5.699899E-6
2326000.0;6.000032E-6
2328000.0;6.150099E-6
2330000.0;6.300166E-6
2332000.0;6.450232E-6
2336000.0;6.750366E-6
2338000.0;6.900432E-6
2340000.0;7.050499E-6
2344000.0;7.350632E-6
2346000.0;7.500699E-6
2348000.0;7.650765E-6
2350000.0;7.800832E-6
2352000.0;7.950899E-6
2354000.0;8.100965E-6
2356000.0;8.251032E-6
2358000.0;8.401099E-6
2362000.0;8.701232E-6
2364000.0;8.851298E-6
2366000.0;9.001365E-6
2374000.0;9.601632E-6
2380000.0;1.005183E-5
2384000.0;1.035196E-5
2388000.0;1.06521E-5
2392000.0;1.095223E-5
2398000.0;1.140243E-5
2400000.0;1.15525E-5
2402000.0;1.170256E-5
2406000.0;1.20027E-5
2412000.0;1.24529E-5
2416000.0;1.275303E-5
2418000.0;1.29031E-5
2420000.0;1.305316E-5
2422000.0;1.320323E-5
2424000.0;1.33533E-5
2426000.0;1.350336E-5
2432000.0;1.395356E-5
2434000.0;1.410363E-5
2446000.0;1.500403E-5
2450000.0;1.530416E-5
2454000.0;1.56043E-5
2458000.0;1.590443E-5
2464000.0;1.635463E-5
2468000.0;1.665476E-5
2482000.0;1.770523E-5
2490000.0;1.83055E-5
2500000.0;1.905583E-5
2502000.0;2.108936E-5
2506000.0;2.515642E-5
2510000.0;2.922348E-5
2516000.0;3.532406E-5
2520000.0;3.939112E-5
2526000.0;4.549171E-5
2530000.0;4.955877E-5
2534000.0;5.362583E-5
2536000.0;5.565936E-5
2540000.0;5.972642E-5
2546000.0;6.582701E-5
