Incident energy;
Incident energy;
Incident energy;?(E)
74867.86;0.0
74875.04;2.59465E-15
74882.22;2.79805E-14
74889.4;1.79939E-13
74894.7;5.24431E-13
74899.99;1.2135E-12
74900.01;3.37507E-15
80000.0;1.721283E-9
90000.0;5.096349E-9
100000.0;8.471414E-9
112500.0;1.19386E-7
125000.0;2.303006E-7
150000.0;4.521297E-7
162820.0;5.658837E-7
162824.0;5.659192E-7
162824.5;5.659237E-7
162824.6;5.659245E-7
165148.1;5.865414E-7
167471.6;6.071582E-7
172118.5;6.483909E-7
181412.3;7.308563E-7
190706.2;8.133226E-7
200000.0;8.957881E-7
225000.0;1.117617E-6
250000.0;1.339446E-6
275000.0;1.561276E-6
300000.0;1.783105E-6
350000.0;2.226763E-6
400000.0;2.670421E-6
450000.0;3.11408E-6
500000.0;3.557738E-6
550000.0;4.415429E-5
600000.0;8.475085E-5
650000.0;1.253474E-4
700000.0;1.65944E-4
750000.0;2.065405E-4
800000.0;2.471371E-4
850000.0;2.877336E-4
900000.0;3.283302E-4
950000.0;3.689267E-4
1000000.0;4.095233E-4
1100000.0;0.001337804
1200000.0;0.002266084
1250000.0;0.002730224
1279000.0;0.002999426
1280940.0;0.003017434
1280941.0;0.003017444
1300000.0;0.003194365
1325000.0;0.003426435
1350000.0;0.003658505
1400000.0;0.004122645
1475200.0;0.004820712
1475227.0;0.004820963
1475230.0;0.004820991
1500000.0;0.005050926
1583200.0;0.005823255
1600000.0;0.005979206
1650000.0;0.006443346
1700000.0;0.006907487
1705880.0;0.006962069
1727940.0;0.007166848
1750000.0;0.007371627
1800000.0;0.007835767
1832600.0;0.008138386
1832640.0;0.008138758
1832644.0;0.008138795
1832645.0;0.008138804
1864210.0;0.008431816
1900000.0;0.008764048
1950000.0;0.009228188
2000000.0;0.009692328
2209470.0;0.01422789
2209500.0;0.01422854
2213250.0;0.01430974
2250000.0;0.01510547
2308040.0;0.01636218
2308042.0;0.01636223
2346450.0;0.01719386
2370405.0;0.01771255
2394360.0;0.01823123
2415700.0;0.0186933
2415706.0;0.01869343
2457890.0;0.01960682
2457893.0;0.01960688
2467900.0;0.01982356
2467904.0;0.01982365
2468210.0;0.01983027
2500000.0;0.02051861
2551350.0;0.02163047
2602700.0;0.02274233
2749300.0;0.02591659
2895900.0;0.02909086
3000000.0;0.03134489
3241200.0;0.03730445
3500000.0;0.04369887
3588500.0;0.04588552
3791250.0;0.05089506
3994000.0;0.0559046
4000000.0;0.05605285
4250000.0;0.06279129
4500000.0;0.06952974
4750000.0;0.07626818
5000000.0;0.08300662
5500000.0;0.09403336
5750000.0;0.09954673
6000000.0;0.1050601
6500000.0;0.11287
7000000.0;0.1206799
7500000.0;0.1263529
8000000.0;0.1320258
8412330.0;0.1342265
8478000.0;0.134577
8500000.0;0.1346944
9000000.0;0.137363
9065750.0;0.1376272
9147520.0;0.1379557
9500000.0;0.1393718
1.0E7;0.1413806
1.05E7;0.1435253
1.06847E7;0.1443175
1.09756E7;0.1455652
1.1E7;0.1456699
1.12188E7;0.1462728
1.15E7;0.1470476
1.2E7;0.1484253
1.25E7;0.1494686
1.3E7;0.1505119
1.35E7;0.1484005
1.4E7;0.146289
1.45E7;0.1399944
1.5E7;0.1336997
1.55E7;0.1258789
1.6E7;0.118058
1.65E7;0.1107144
1.7E7;0.1033707
1.75E7;0.09687879
1.8E7;0.09038687
1.85E7;0.08537181
1.9E7;0.08035674
1.95E7;0.07643696
2.0E7;0.07251717
