Incident energy;
Incident energy;
Incident energy;?(E)
875.0;0.0
1000.0;1.36214E-15
1250.0;8.76176E-13
1500.0;1.75235E-12
1750.0;2.62852E-12
2000.0;3.50469E-12
2269.312;4.44855E-12
2403.968;4.92048E-12
2538.623;5.3924E-12
2673.279;5.86433E-12
2807.935;6.33625E-12
2875.263;6.57222E-12
2942.591;6.80818E-12
3009.919;7.04414E-12
3043.583;7.16213E-12
3060.415;7.22112E-12
3068.831;7.25061E-12
3077.246;7.2801E-12
3081.27;7.29421E-12
3083.282;7.30126E-12
3085.293;7.30831E-12
3087.305;7.31536E-12
3088.311;7.31888E-12
3089.317;7.32241E-12
3090.323;7.32594E-12
3090.826;7.3277E-12
3091.329;7.32946E-12
3091.832;7.33122E-12
3092.335;7.33299E-12
3092.587;7.33387E-12
3092.838;7.33475E-12
3093.089;7.33563E-12
3093.34;7.33651E-12
3093.508;7.3371E-12
3093.676;7.33769E-12
3093.844;7.33828E-12
3094.011;7.33886E-12
3094.179;7.33945E-12
3094.347;7.34004E-12
3094.515;7.34063E-12
3094.682;7.34121E-12
3094.85;7.3418E-12
3095.018;7.34239E-12
3095.186;7.34298E-12
3095.353;7.34356E-12
3095.521;7.34415E-12
3095.688;7.34474E-12
3095.856;7.34533E-12
3096.023;7.34591E-12
3096.208;7.34656E-12
3096.392;7.34721E-12
3096.761;7.3485E-12
3097.498;7.35108E-12
3097.867;7.35238E-12
3098.235;7.35366E-12
3098.453;7.35443E-12
3098.671;7.35519E-12
3099.0;7.35635E-12
3099.207;7.35707E-12
3099.413;7.35779E-12
3099.703;7.35881E-12
3099.993;7.35983E-12
3100.225;7.36064E-12
3100.341;7.36105E-12
3100.805;7.36267E-12
3101.211;7.36409E-12
3101.617;7.36552E-12
3101.82;7.36623E-12
3102.023;7.36694E-12
3102.226;7.36765E-12
3102.429;7.36836E-12
3102.632;7.36907E-12
3102.835;7.36979E-12
3103.038;7.3705E-12
3103.241;7.37121E-12
3103.444;7.37192E-12
3103.647;7.37263E-12
3103.85;7.37334E-12
3104.053;7.37405E-12
3104.256;7.37477E-12
3104.459;7.37548E-12
3104.662;7.37619E-12
3104.865;7.3769E-12
3105.054;7.37756E-12
3105.243;7.37823E-12
3105.62;7.37955E-12
3105.997;7.38087E-12
3106.374;7.38219E-12
3106.751;7.38351E-12
3107.128;7.38483E-12
3107.882;7.38747E-12
3108.636;7.39012E-12
3109.39;7.39276E-12
3110.898;7.39804E-12
3112.406;7.40333E-12
3113.914;7.40862E-12
3116.93;7.41919E-12
3122.963;7.44033E-12
3128.995;7.46147E-12
3143.844;7.51351E-12
3158.693;7.56555E-12
3190.248;7.67614E-12
3221.803;7.78673E-12
3253.358;7.89732E-12
3284.912;8.00791E-12
3316.467;8.1185E-12
3332.245;8.1738E-12
3348.022;8.22909E-12
3363.8;8.28439E-12
3379.577;8.33968E-12
3395.354;8.39497E-12
3411.131;8.45027E-12
3429.693;8.51532E-12
3438.974;8.54785E-12
3448.254;8.58037E-12
3457.535;8.6129E-12
3462.176;8.62916E-12
3466.816;8.64543E-12
3471.457;8.66169E-12
3476.097;8.67795E-12
3480.737;8.69421E-12
3485.377;8.71048E-12
3488.858;8.72268E-12
3492.338;8.73487E-12
3495.818;8.74707E-12
3499.298;8.75927E-12
3501.039;8.76537E-12
3502.779;8.77147E-12
3504.519;8.77756E-12
3506.259;8.78366E-12
3507.999;8.78976E-12
3509.739;8.79586E-12
3511.479;8.80196E-12
3513.219;8.80805E-12
3514.38;8.81212E-12
3515.54;8.81619E-12
3516.7;8.82025E-12
3517.86;8.82432E-12
3519.02;8.82838E-12
3519.6;8.83042E-12
3520.18;8.83245E-12
3520.76;8.83448E-12
3521.34;8.83652E-12
3521.92;8.83855E-12
3522.5;8.84058E-12
3523.081;8.84262E-12
3523.661;8.84465E-12
3524.241;8.84668E-12
3524.821;8.84872E-12
3525.257;8.85024E-12
3525.692;8.85177E-12
3526.127;8.85329E-12
3526.562;8.85482E-12
3526.997;8.85634E-12
3527.432;8.85787E-12
3528.302;8.86092E-12
3529.172;8.86396E-12
3530.042;8.86701E-12
3530.912;8.87006E-12
3531.782;8.87311E-12
3532.711;8.87637E-12
3533.639;8.87962E-12
3534.567;8.88287E-12
3535.495;8.88613E-12
3536.423;8.88938E-12
3537.351;8.89263E-12
3539.207;8.89913E-12
3541.063;8.90564E-12
3542.919;8.91214E-12
3544.775;8.91865E-12
3546.631;8.92515E-12
3549.3;8.93451E-12
3551.968;8.94386E-12
3554.636;8.95321E-12
3557.304;8.96256E-12
3559.973;8.97191E-12
3562.641;8.98126E-12
3567.977;8.99996E-12
3573.314;9.01867E-12
3578.65;9.03737E-12
3583.986;9.05607E-12
3589.322;9.07477E-12
3596.747;9.1008E-12
3604.172;9.12682E-12
3611.597;9.15284E-12
3619.021;9.17886E-12
3626.446;9.20488E-12
3633.87;9.2309E-12
