Incident energy;
Incident energy;
Incident energy;?(E)
2965123.0;0.0
2965260.0;1.24383E-13
2965620.0;4.51229E-13
2965630.0;4.60308E-13
2966720.0;1.44992E-12
2967080.0;1.77677E-12
2967100.0;1.79493E-12
2967450.0;2.1127E-12
2967830.0;2.4577E-12
2968180.0;2.77547E-12
2968550.0;3.11139E-12
2968910.0;3.43824E-12
2969280.0;3.77416E-12
2969300.0;3.79232E-12
2970380.0;4.77286E-12
2970740.0;5.0997E-12
2971480.0;5.77155E-12
2971500.0;5.78971E-12
2971840.0;6.0984E-12
2972210.0;6.43432E-12
2972940.0;7.09709E-12
2973600.0;7.69631E-12
2974040.0;8.09579E-12
2974640.0;8.64053E-12
2974780.0;8.76764E-12
2975800.0;9.6937E-12
2975880.0;9.76633E-12
2976240.0;1.00932E-11
2977350.0;1.1101E-11
2978820.0;1.24356E-11
2979180.0;1.27624E-11
2979920.0;1.34343E-11
2980660.0;1.41061E-11
2980800.0;1.42332E-11
2981020.0;1.4433E-11
2981390.0;1.47689E-11
2981470.0;1.48415E-11
2981760.0;1.51048E-11
2982860.0;1.61035E-11
2983000.0;1.62306E-11
2983600.0;1.67754E-11
2983970.0;1.71113E-11
2984340.0;1.74472E-11
2984710.0;1.77831E-11
2985080.0;1.81191E-11
2986600.0;1.94991E-11
2986920.0;1.97896E-11
2987290.0;2.01255E-11
2987660.0;2.04615E-11
2988330.0;2.10698E-11
2988770.0;2.14692E-11
2988800.0;2.14965E-11
2989880.0;2.2477E-11
2990990.0;2.34848E-11
2991360.0;2.38207E-11
2991730.0;2.41566E-11
2992207.0;2.45897E-11
2992208.0;2.45906E-11
2992840.0;2.54052E-11
2993580.0;2.6359E-11
2993950.0;2.68359E-11
2994544.0;2.76015E-11
2994545.0;2.76028E-11
2994690.0;2.77897E-11
2995100.0;2.83181E-11
2995430.0;2.87435E-11
2996170.0;2.96973E-11
2996540.0;3.01742E-11
2997660.0;3.16178E-11
2998030.0;3.20947E-11
2999140.0;3.35253E-11
2999890.0;3.4492E-11
3000000.0;3.46338E-11
3000630.0;3.50286E-11
3001000.0;3.52605E-11
3001370.0;3.54924E-11
3001740.0;3.57243E-11
3002110.0;3.59562E-11
3002120.0;3.59625E-11
3002860.0;3.64262E-11
3003230.0;3.66581E-11
3004350.0;3.736E-11
3004720.0;3.75919E-11
3005090.0;3.78238E-11
3005840.0;3.82939E-11
3006210.0;3.85257E-11
3008450.0;3.99296E-11
3008820.0;4.01615E-11
3009030.0;4.02931E-11
3009940.0;4.08634E-11
3010320.0;4.11016E-11
3011070.0;4.15716E-11
3011440.0;4.18035E-11
3012190.0;4.22735E-11
3012930.0;4.27373E-11
3013310.0;4.29755E-11
3013349.0;4.29999E-11
3013351.0;4.30012E-11
3013400.0;4.30319E-11
3013680.0;4.32073E-11
3014430.0;4.36774E-11
3015930.0;4.46175E-11
3015980.0;4.46488E-11
3016680.0;4.50875E-11
3017050.0;4.53194E-11
3017800.0;4.57894E-11
3018180.0;4.60276E-11
3018930.0;4.64976E-11
3019300.0;4.67295E-11
3020050.0;4.71996E-11
3021180.0;4.79078E-11
3021930.0;4.83778E-11
3022960.0;4.90233E-11
3023060.0;4.9086E-11
3024940.0;5.02642E-11
3025320.0;5.05024E-11
3026070.0;5.09724E-11
3026450.0;5.12106E-11
3026820.0;5.14425E-11
3027200.0;5.16806E-11
3027950.0;5.21507E-11
3028330.0;5.23888E-11
3029460.0;5.3097E-11
3029840.0;5.33352E-11
3030590.0;5.38052E-11
3030970.0;5.40434E-11
3031350.0;5.42815E-11
3031720.0;5.45134E-11
3032100.0;5.47515E-11
3032480.0;5.49897E-11
3032860.0;5.52279E-11
3033230.0;5.54597E-11
3033610.0;5.56979E-11
3035880.0;5.71206E-11
3036980.0;5.78099E-11
3037400.0;5.80732E-11
3038150.0;5.85432E-11
3038530.0;5.87814E-11
3038910.0;5.90195E-11
3039290.0;5.92577E-11
3039670.0;5.94958E-11
3040810.0;6.02103E-11
3042320.0;6.11566E-11
3042700.0;6.13948E-11
3043460.0;6.18711E-11
3043840.0;6.21093E-11
3044020.0;6.22221E-11
3044600.0;6.25856E-11
3044980.0;6.28237E-11
3045740.0;6.33E-11
3046120.0;6.35382E-11
3047640.0;6.44908E-11
3048020.0;6.47289E-11
3048790.0;6.52115E-11
3049170.0;6.54497E-11
3049550.0;6.56878E-11
3049930.0;6.5926E-11
3050310.0;6.61641E-11
3051070.0;6.66404E-11
3051100.0;6.66593E-11
3051450.0;6.68786E-11
3051830.0;6.71168E-11
3052210.0;6.73549E-11
3052980.0;6.78375E-11
3053360.0;6.80756E-11
3053740.0;6.83138E-11
3054120.0;6.85519E-11
3055270.0;6.92727E-11
3056410.0;6.99871E-11
3058190.0;7.11027E-11
3058710.0;7.14286E-11
3059090.0;7.16668E-11
3059860.0;7.21493E-11
3060240.0;7.23875E-11
