Incident energy;
Incident energy;
Incident energy;?(E)
811734.0;0.0
811867.0;5.39451E-11
811900.3;1.579923E-8
811916.9;1.545243E-7
811925.2;4.221703E-7
811933.5;1.055342E-6
811941.8;2.416717E-6
811946.0;3.55628E-6
811948.1;4.278714E-6
811950.1;5.077032E-6
811952.2;6.044055E-6
811954.3;7.156681E-6
811956.4;8.428973E-6
811958.4;9.80191E-6
811960.5;1.142587E-5
811962.6;1.324939E-5
811964.7;1.528442E-5
811966.7;1.74289E-5
811968.8;1.990581E-5
811970.9;2.262019E-5
811975.0;2.861872E-5
811979.2;3.571961E-5
811983.3;4.353996E-5
811987.5;5.236295E-5
811991.6;6.162423E-5
811999.9;8.154544E-5
812000.1;1.635298E-4
812638.0;1.648761E-4
812916.0;1.654628E-4
813333.0;1.663429E-4
813492.0;1.666785E-4
813612.0;1.669317E-4
813691.0;1.670984E-4
813791.0;1.673095E-4
813990.0;1.677295E-4
814089.0;1.679384E-4
814149.0;1.680651E-4
814248.0;1.68274E-4
814407.0;1.686096E-4
814527.0;1.688628E-4
814626.0;1.690718E-4
814746.0;1.69325E-4
815005.0;1.698716E-4
815144.0;1.70165E-4
815364.0;1.706293E-4
815603.0;1.711337E-4
815703.0;1.713448E-4
815763.0;1.714714E-4
815863.0;1.716824E-4
816002.0;1.719758E-4
816102.0;1.721869E-4
816222.0;1.724401E-4
816322.0;1.726512E-4
816442.0;1.729044E-4
816542.0;1.731155E-4
816642.0;1.733265E-4
816766.0;1.735882E-4
816926.0;1.739259E-4
817066.0;1.742214E-4
817426.0;1.749812E-4
817706.0;1.755721E-4
817827.0;1.758275E-4
817987.0;1.761651E-4
818288.0;1.768004E-4
818508.0;1.772647E-4
818689.0;1.776467E-4
818849.0;1.779844E-4
819010.0;1.783242E-4
819170.0;1.786619E-4
819251.0;1.788328E-4
819372.0;1.790882E-4
819492.0;1.793414E-4
819613.0;1.795968E-4
819834.0;1.800632E-4
819934.0;1.802743E-4
820236.0;1.809116E-4
820538.0;1.81549E-4
820759.0;1.820154E-4
820921.0;1.823573E-4
821142.0;1.828238E-4
821304.0;1.831657E-4
821405.0;1.833788E-4
821505.0;1.835899E-4
821707.0;1.840162E-4
821808.0;1.842294E-4
821929.0;1.844847E-4
822070.0;1.847823E-4
822111.0;1.848688E-4
822232.0;1.851242E-4
822272.0;1.852086E-4
822333.0;1.853374E-4
822535.0;1.857637E-4
822656.0;1.860191E-4
822737.0;1.8619E-4
822858.0;1.864454E-4
822899.0;1.865319E-4
823000.0;1.867451E-4
823101.0;1.869582E-4
823223.0;1.872157E-4
823304.0;1.873867E-4
823465.0;1.877264E-4
823627.0;1.880683E-4
823810.0;1.884546E-4
823972.0;1.887965E-4
824073.0;1.890096E-4
824195.0;1.892671E-4
824296.0;1.894803E-4
824478.0;1.898644E-4
824539.0;1.899931E-4
824604.0;1.901303E-4
824685.0;1.903012E-4
824726.0;1.903878E-4
824787.0;1.905165E-4
824888.0;1.907297E-4
824990.0;1.90945E-4
825091.0;1.911581E-4
825132.0;1.912446E-4
825233.0;1.914578E-4
825335.0;1.916731E-4
825558.0;1.921437E-4
825884.0;1.928317E-4
826148.0;1.933889E-4
826290.0;1.936886E-4
826392.0;1.939039E-4
826453.0;1.940326E-4
826535.0;1.942057E-4
826718.0;1.945919E-4
826901.0;1.949781E-4
827146.0;1.954952E-4
827329.0;1.958814E-4
827676.0;1.966137E-4
828002.0;1.973018E-4
828390.0;1.981206E-4
828553.0;1.984647E-4
828656.0;1.98682E-4
828758.0;1.988973E-4
828921.0;1.992413E-4
829126.0;1.99674E-4
829228.0;1.998892E-4
829330.0;2.001045E-4
829556.0;2.005815E-4
829637.0;2.007524E-4
829699.0;2.008833E-4
829903.0;2.013138E-4
830026.0;2.015734E-4
830211.0;2.019639E-4
830334.0;2.022234E-4
830498.0;2.025696E-4
830682.0;2.029579E-4
830846.0;2.03304E-4
830970.0;2.035657E-4
831052.0;2.037388E-4
831195.0;2.040406E-4
831339.0;2.043445E-4
831462.0;2.046041E-4
831586.0;2.048658E-4
831709.0;2.051254E-4
831873.0;2.054715E-4
832099.0;2.059485E-4
832247.0;2.062608E-4
832453.0;2.066956E-4
832577.0;2.069573E-4
832680.0;2.071747E-4
832803.0;2.074343E-4
833112.0;2.080864E-4
833215.0;2.083038E-4
833318.0;2.085212E-4
833442.0;2.087829E-4
833565.0;2.090425E-4
833668.0;2.092598E-4
833792.0;2.095215E-4
833957.0;2.098698E-4
834122.0;2.10218E-4
834225.0;2.104354E-4
834329.0;2.106549E-4
834535.0;2.110896E-4
834783.0;2.11613E-4
835093.0;2.122673E-4
835176.0;2.124425E-4
835238.0;2.125733E-4
835341.0;2.127907E-4
835424.0;2.129659E-4
835548.0;2.132276E-4
835631.0;2.134027E-4
835734.0;2.136201E-4
835858.0;2.138818E-4
836169.0;2.145382E-4
836480.0;2.151946E-4
